"","species","PORT","YEAR","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"149","China","CI",2016,0.00852272727272727,2.40743316027407e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"150","Copper","CI",2016,0.00852272727272727,2.40743316027407e-05,0.0169491525423729,0.000142409220260412,NA,NA,NA,NA,NA,NA,NA,NA
"151","Dark","CI",2016,0.15625,0.000375600961538462,0.144067796610169,0.00105395099649624,NA,NA,NA,NA,NA,NA,NA,NA
"152","Dusky","CI",2016,0.110795454545455,0.000280683252984389,0.440677966101695,0.00210667432730058,NA,NA,NA,NA,NA,NA,NA,NA
"153","DuskyDrk","CI",2016,0.03125,8.62491096866097e-05,0.00847457627118644,7.18184429761563e-05,NA,NA,NA,NA,NA,NA,NA,NA
"154","Quillback","CI",2016,0.0142045454545455,3.98939496950861e-05,0.00847457627118644,7.18184429761563e-05,NA,NA,NA,NA,NA,NA,NA,NA
"155","Yelloweye","CI",2016,0.0340909090909091,9.38140142685597e-05,0.0254237288135593,0.000211772331852769,NA,NA,NA,NA,NA,NA,NA,NA
"156","Black","CI",2017,0.55859375,0.000966928519454657,0.583333333333333,0.00156810035842294,NA,NA,NA,NA,NA,NA,NA,NA
"157","China","CI",2017,0.03125,0.000118719362745098,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"158","Copper","CI",2017,0.0234375,8.97575827205882e-05,0.0192307692307692,0.000121683527390723,NA,NA,NA,NA,NA,NA,NA,NA
"159","Dark","CI",2017,0.12890625,0.000440350700827206,0.153846153846154,0.000839854934147738,NA,NA,NA,NA,NA,NA,NA,NA
"160","Dusky","CI",2017,0.1171875,0.000405704273897059,0.134615384615385,0.000751574728001527,NA,NA,NA,NA,NA,NA,NA,NA
"161","DuskyDrk","CI",2017,0.01171875,4.54173368566176e-05,0.0192307692307692,0.000121683527390723,NA,NA,NA,NA,NA,NA,NA,NA
"162","Quillback","CI",2017,0.015625,6.03170955882353e-05,0.0128205128205128,8.16525630421412e-05,NA,NA,NA,NA,NA,NA,NA,NA
"163","Tiger","CI",2017,0.015625,6.03170955882353e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"164","Yelloweye","CI",2017,0.09765625,0.000345566693474265,0.0769230769230769,0.000458102691353312,NA,NA,NA,NA,NA,NA,NA,NA
"165","Black","CI",2018,0.526315789473684,0.000345780137620495,0.551601423487544,0.000883347475335925,NA,NA,NA,NA,NA,NA,NA,NA
"166","China","CI",2018,0.0124653739612188,1.70734929448347e-05,0.0142348754448399,5.01151563068205e-05,NA,NA,NA,NA,NA,NA,NA,NA
"167","Copper","CI",2018,0.00692520775623269,9.53848717581928e-06,0.0106761565836299,3.77220580865418e-05,NA,NA,NA,NA,NA,NA,NA,NA
"168","Dark","CI",2018,0.249307479224377,0.000259574563144471,0.199288256227758,0.00056990159699092,NA,NA,NA,NA,NA,NA,NA,NA
"169","Dusky","CI",2018,0.0983379501385042,0.000122978637588157,0.106761565836299,0.000340584049630288,NA,NA,NA,NA,NA,NA,NA,NA
"170","DuskyDrk","CI",2018,0.0193905817174515,2.63725201915539e-05,0.0177935943060498,6.24177939561483e-05,NA,NA,NA,NA,NA,NA,NA,NA
