"","YEAR","MONTH","DAY","SUBL","LITHO","LINE","HOUR","NUMDAYS","ADFGSTAT","INTLOC","ANGLDAYS","WHOLEHRS","FRACHRS","LOGBOOK","PROXY","ZEROCATCH","HACAS","HAKEPT","HAREL","RFKEPT","RFREL","PELKEPT","PELREL","NPKEPT","NPREL","LCKEPT","LCREL","PSSKEPT","PSSREL","SDFKEPT","SDFREL","SSKKEPT","SSKREL","CODKEPT","CODREL","PORT","SUBLOC","TRFKEPT","TRFREL","USER","TARGET","BOATHRS","HALCPUE","HALHPUE","HALCPHR","HALHPHR"
"83",2005,6,30,NA,23377,5,17,1,525733,2,4,6,0,50201,NA,NA,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","H",6,3.75,2,0.625,0.333333333333333
"84",2005,6,30,NA,23377,6,17,1,525733,2,5,5,0,50250,NA,NA,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","H",5,3.2,2,0.64,0.4
"85",2005,6,30,NA,23377,7,20,1,525733,2,4,4,0,NA,NA,NA,0,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,4,"Private","B+S",4,1.75,1,0.4375,0.25
"86",2005,6,30,NA,23377,8,20,1,525733,2,3,3,0,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",3,0.666666666666667,0.666666666666667,0.222222222222222,0.222222222222222
"87",2005,7,1,NA,23376,1,16,1,525732,3,2,3,0,NA,NA,NA,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",3,2,0,0.666666666666667,0
"88",2005,7,1,NA,23376,2,16,1,525732,2,2,3,0,NA,NA,NA,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",2,1,"Private","S",3,NA,NA,NA,NA
"89",2005,7,1,NA,23376,3,16,1,525701,2,4,5,0,50250,NA,NA,8,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,1,"Charter","H",5,2.25,2,0.45,0.4
"90",2005,7,1,NA,23376,4,17,1,525733,2,6,4,0,50329,NA,NA,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,"Kodiak","",1,2,"Charter","B+S",4,0,0,0,0
"91",2005,7,1,NA,23376,5,17,1,525733,2,4,7,0,50201,NA,NA,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","H",7,4.5,2,0.642857142857143,0.285714285714286
"92",2005,7,1,NA,23376,6,17,1,525733,1,8,8,0,50204,NA,NA,0,16,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,"Kodiak","",11,0,"Charter","B+S",8,2,2,0.25,0.25
"93",2005,7,1,NA,23376,7,17,1,525733,1,6,5,50,NA,NA,NA,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Kodiak","",0,0,"Private","B+S",5.5,1,0.5,0.181818181818182,0.0909090909090909
"94",2005,7,1,NA,23376,8,18,1,525732,1,9,2,50,50206,NA,NA,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,10,"Charter","S",2.5,NA,NA,NA,NA
"95",2005,7,1,NA,23376,9,18,1,525732,3,2,4,0,NA,NA,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,2,"Private","H",4,0,0,0,0
"96",2005,7,1,NA,23375,1,18,1,525733,3,5,5,0,NA,NA,NA,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",5,0.8,0.8,0.16,0.16
"97",2005,7,1,NA,23375,2,18,1,525733,3,2,4,0,NA,NA,NA,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,"Kodiak","",5,0,"Private","S",4,NA,NA,NA,NA
"98",2005,7,1,NA,23375,3,20,1,525732,2,5,4,0,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","S",4,NA,NA,NA,NA
"99",2005,7,1,NA,23375,4,20,1,525733,2,5,2,0,NA,NA,NA,0,8,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",2,0,"Private","H",2,2.4,1.6,1.2,0.8
"100",2005,7,1,NA,23375,6,21,1,525733,1,6,3,0,50215,NA,NA,12,12,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,4,"Charter","B+S",3,3,2,1,0.666666666666667
"101",2005,7,1,NA,23375,7,22,1,525733,2,2,2,50,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",2.5,0.5,0.5,0.2,0.2
"102",2005,7,2,NA,23374,1,16,1,525733,3,3,4,0,NA,NA,NA,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","B+S",4,2.66666666666667,2,0.666666666666667,0.5
"103",2005,7,2,NA,23374,2,16,1,525732,3,2,6,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","B+S",6,0,0,0,0
"104",2005,7,2,NA,23374,3,16,1,525732,3,3,4,0,NA,NA,NA,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",4,3.66666666666667,1.33333333333333,0.916666666666667,0.333333333333333
