"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PELREL","PELDEPTH","NPKEPT","NPVER","NPREL","NPDEPTH","LCKEPT","LCVER","LCRELOVR","LCRELUND","CODKEPT","CODREL","SSKKEPT","SSKREL","SDFKEPT","SDFREL","PSSKEPT","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL"
"82","CCI","",NA,15,1,1,"S",515939,NA,4,NA,5,1,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,6,5,"Private","DeepCr","",4,0,0,NA,0
"83","CCI","",NA,16,1,1,"B+S",515939,NA,5,0,8,0,"N",0,3,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,3,0,0,2009,6,5,"Private","DeepCr","",5,3,0,NA,0
"84","CCI","SHOOTER",91825,16,1,1,"B+S",525931,NA,3,1,10,5,"N",0,2,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,12,0,0,0,0,0,0,2009,6,5,"Charter","DeepCr","",4,2,0,NA,0
"85","CCI","SHAY LYNN",93356,16,1,1,"B+S",525931,NA,6,0,4,12,"N",0,15,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,2,1,0,0,0,0,0,0,2009,6,5,"Charter","DeepCr","",6,15,0,NA,0
"86","CCI","AK2972K / NO NAME",93319,16,1,1,"B+S",525931,NA,5,0,4,10,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,6,5,"Charter","DeepCr","",5,0,0,NA,0
"87","CCI","DISCOVER",93355,16,1,1,"B",515938,NA,6,0,1.5,12,"N",0,24,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,0,0,0,0,0,0,0,2009,6,5,"Charter","DeepCr","",6,24,0,NA,0
"88","CCI","",NA,17,1,1,"B",515938,NA,3,0,3,0,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,6,5,"Private","DeepCr","",3,0,0,NA,0
"89","CCI","",NA,17,1,1,"B",525931,NA,3,0,3,6,"N",0,2,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,6,5,"Private","DeepCr","",3,2,0,NA,0
"90","CCI","",NA,17,1,1,"B",525931,NA,4,0,4,8,"N",0,4,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,6,5,"Private","DeepCr","",4,4,0,NA,0
"91","CCI","KYRA KAY",93358,17,1,1,"B+S",525931,NA,5,0,5,10,"N",0,14,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,6,5,"Charter","DeepCr","",5,14,0,NA,0
"92","CCI","SUE D",93421,17,1,1,"B+S",525931,NA,2,0,8,4,"N",0,12,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,3,0,0,0,0,0,0,0,2009,6,5,"Charter","DeepCr","",2,12,0,NA,0
"93","CCI","",NA,17,1,1,"B",515938,NA,5,0,6,10,"N",0,10,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,6,5,"Private","DeepCr","",5,10,0,NA,0
"94","CCI","ALASKAN ADVENTURES",93352,18,1,1,"B",525931,NA,4,0,3,8,"N",0,12,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,1,0,0,0,0,0,0,2009,6,5,"Charter","DeepCr","",4,12,0,NA,0
"95","CCI","",NA,18,1,1,"B+S",515938,NA,2,0,8,4,"N",0,15,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,6,5,"Private","DeepCr","",2,15,0,NA,0
"96","CCI","THE HUNTER",93390,18,1,1,"B+S",525931,NA,6,0,5,12,"N",0,6,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,0,0,0,0,0,0,0,2009,6,5,"Charter","DeepCr","",6,6,0,NA,0
"97","CCI","",NA,18,1,1,"B+S",525931,NA,3,0,4,6,"N",0,21,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,15,0,0,0,0,0,0,2009,6,5,"Private","DeepCr","",3,21,0,NA,0
"98","CCI","NSC 1",93417,18,1,1,"B+S",525931,NA,6,0,8,12,"N",0,8,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,3,0,0,0,0,0,0,2009,6,5,"Charter","DeepCr","",6,8,0,NA,0
